method,KDDCup09_upselling,MagicTelescope,OnlineNewsPopularity,adult,bank-marketing,churn,credit,ecom-offers,fifa,house,kdd_ipums_la_97-small,medical_charges,sberbank-housing
CatBoost,0.7992,0.8586,0.8532,0.8714,0.8026,0.8582,0.7734,0.5596,0.7835,3.1172,0.8793,0.0816,0.2482
Excel-plugins,0.7903,0.8480,0.8605,0.8613,0.7957,0.8618,0.7724,0.5759,0.7909,3.2460,0.8803,0.0817,0.2533
FT-T,0.7957,0.8588,0.8629,0.8588,0.7918,0.8593,0.7745,0.5775,0.7928,3.1823,0.8795,0.0814,0.2440
LightGBM,0.7932,0.8547,0.8546,0.8713,0.8006,0.8600,0.7686,0.5758,0.7806,3.1774,0.8792,0.0820,0.2468
MLP,0.7759,0.8539,0.8643,0.8540,0.7860,0.8553,0.7735,0.5989,0.8038,3.1117,0.8828,0.0816,0.2529
MLP-piecewiselinear,0.7925,0.8593,0.8585,0.8603,0.7981,0.8580,0.7758,0.5949,0.7806,3.0999,0.8757,0.0812,0.2383
MNCA,0.7939,0.8602,0.8651,0.8677,0.7961,0.8595,0.7739,0.5765,0.7967,3.0884,0.8819,0.0811,0.2593
MNCA-periodic,0.7960,0.8622,0.8647,0.8717,0.7977,0.8606,0.7734,0.5758,0.7909,3.0704,0.8837,0.0809,0.2448
SAINT,0.7942,0.8595,0.8600,0.8601,0.7953,0.8603,0.7739,0.5812,0.7901,3.2424,0.8837,0.0814,0.2467
T2G,0.8037,0.8553,0.8632,0.8601,0.7918,0.8613,0.7744,0.5791,0.7928,3.1613,0.8833,0.0813,0.2416
TabM,0.8024,0.8622,0.8579,0.8575,0.7944,0.8605,0.7760,0.5941,0.7953,3.0038,0.8823,0.0812,0.2439
TabMmini-piecewiselinear,0.8024,0.8644,0.8563,0.8700,0.7989,0.8606,0.7761,0.5910,0.7771,2.9976,0.8779,0.0811,0.2334
TabR,0.7838,0.8682,0.8677,0.8646,0.7995,0.8599,0.7730,0.5943,0.7902,3.0667,0.8798,0.0815,0.2820
TabR-periodic,0.7908,0.8641,0.8624,0.8699,0.8023,0.8625,0.7723,0.5762,0.7914,3.1048,0.8831,0.0811,0.2542
XGBoost,0.7930,0.8550,0.8545,0.8720,0.8013,0.8605,0.7698,0.5763,0.7800,3.1773,0.8825,0.0825,0.2419
tabm-rankp-piecewiselinear,0.8039,0.8552,0.8634,0.8683,0.7970,0.8612,0.7701,0.5900,0.7886,3.0423,0.8783,0.0812,0.2398
